username,sentimen,comment,translated_comment,case_folding,cleaning,lemmatization,remove_stopwords
pemkabgresik,positif,@bawean_mbois pemkab gresik melalui dinas bpbd berupaya untuk menyiapkan bantuan secepat mungkin menuju bawean kak 🙏,"The Gresik District Government, through the BPBD Agency, is striving to prepare assistance as quickly as possible to be sent to Bawean Island.","the gresik district government, through the bpbd agency, is striving to prepare assistance as quickly as possible to be sent to bawean island.",the gresik district government  through the bpbd agency  is striving to prepare assistance as quickly as possible to be sent to bawean island,gresik district government bpbd agency strive prepare assistance as quickly possible send bawean island,gresik district government bpbd agency strive prepare assistance quickly possible send bawean island
pemkabgresik,positif,@nana_nananananananaa iya kak dinas terkait saat  ini sedang menuju ke pulau bawean untuk menyiapkan bantu secepat mungkin. Mohon tetap tenang dan tetap waspada ya kak🙏,"Right now, related parties are heading to Bawean Island to prepare assistance as quickly as possible, please remain calm and stay vigilant.","right now, related parties are heading to bawean island to prepare assistance as quickly as possible, please remain calm and stay vigilant.",right now  related parties are heading to bawean island to prepare assistance as quickly as possible  please remain calm and stay vigilant,right now relate party head bawean island prepare assistance as quickly possible remain calm stay vigilant,right relate party head bawean island prepare assistance quickly possible remain calm stay vigilant
bawean_mbois,positif,"@pemkabgresik terima kasih min, mohon secepatnya ya min, disini benar-benar lumayan parah","Thank you very much, I would appreciate it if you could expedite it as soon as possible, the situation here is quite severe.","thank you very much, i would appreciate it if you could expedite it as soon as possible, the situation here is quite severe.",thank you very much  i would appreciate it if you could expedite it as soon as possible  the situation here is quite severe,thank very much appreciate expedite as soon possible situation here quite severe,thank appreciate expedite soon possible situation severe
idrssrdi,positif,logistik untuk bawean segera dipercepat @fandiakhmadyani,Logistics for Bawean should be expedited immediately.,logistics for bawean should be expedited immediately.,logistics for bawean should be expedited immediately,logistic bawean expedite immediately,logistic bawean expedite immediately
nana_nananananananaa,positif,Terima kasih min🙏,Thank you very much.,thank you very much.,thank you very much,thank very much,thank
hajar_baweanensis,negatif,"saya sudah sering mempertanyakan di beberapa media, alasan bawa² nama Tuban padahal itu di Bawean.",I have often questioned in several media why the name Tuban is brought up when it is actually about Bawean.,i have often questioned in several media why the name tuban is brought up when it is actually about bawean.,i have often questioned in several media why the name tuban is brought up when it is actually about bawean,often question several medium name tuban bring actually bawean,question medium tuban bring actually bawean
hattahatta2727,positif,Promo Wifi Murah,Cheap Wi-Fi Promotions,cheap wi-fi promotions,cheap wi fi promotions,cheap wi fi promotion,cheap wi fi promotion
rafiud.alfiansyah,positif,"saya juga bang, btw kamu gimana @acmdfasl aman kah di sana, di sini asal gempa masih diributin 😂","I'm also shocked, by the way, how are you, is it safe there, and how about here, the earthquake is still being discussed.","i'm also shocked, by the way, how are you, is it safe there, and how about here, the earthquake is still being discussed.",i m also shocked  by the way  how are you  is it safe there  and how about here  the earthquake is still being discussed,m also shock way safe there here earthquake still discuss,m shock way safe earthquake discuss
acmdfasl,negatif, ribet banget gitu saja diribetin bang. kamu kayaknya asik banget di tongkrongan gak sih,"It's really annoying, though, that you're being so bothered like that, don't you think, having a good time hanging out, right?","it's really annoying, though, that you're being so bothered like that, don't you think, having a good time hanging out, right?",it s really annoying  though  that you re being so bothered like that  don t you think  having a good time hanging out  right,s really annoying re so bother don t think have good time hang right,s annoying bother don t think good time hang right
minu18_official,negatif,Desa Lebak kok tidak masuk min?,The village of Lebak isn't included.,the village of lebak isn't included.,the village of lebak isn t included,village lebak isn t include,village lebak isn t include
pemkabgresik,positif,@minu18_official ini informasi dari BPBD per tanggal 22 maret kak. Kedepannya akan kami update secara berkala apabila ada data terbaru. Terima kasih atas informasinya ya kak☺️,"Official information from BPBD as of March, and going forward we will update regularly if there is new data, thank you for the information.","official information from bpbd as of march, and going forward we will update regularly if there is new data, thank you for the information.",official information from bpbd as of march  and going forward we will update regularly if there is new data  thank you for the information,official information bpbd march go forward update regularly new datum thank information,official information bpbd march forward update regularly new datum thank information
bawean_mbois,negatif,"Lambat min penanganannya, di sini pake terpal sendiri","The handling is slow here, it's better to bring our own tarpaulin.","the handling is slow here, it's better to bring our own tarpaulin.",the handling is slow here  it s better to bring our own tarpaulin,handling slow here s well bring own tarpaulin,handling slow s bring tarpaulin
syantie_family,negatif,"Desa Suwari, Dusun Bakung juga tidak masuk di datanya min, banyak rumah warga yang rusak & masih mengungsi ditendang buatan sendri di halaman sawah dll. Mohon ditindak lanjut ya min","The village square, dusun bakung, is also not included in the data, with many residents' homes damaged and still displaced, some are even forced to live in the fields, etc., please take further action.","the village square, dusun bakung, is also not included in the data, with many residents' homes damaged and still displaced, some are even forced to live in the fields, etc., please take further action.",the village square  dusun bakung  is also not included in the data  with many residents  homes damaged and still displaced  some are even forced to live in the fields  etc please take further action,village square dusun bakung also include datum many resident home damage still displace even force live field take further action,village square dusun bakung include datum resident home damage displace force live field action
sifaak_,negatif,Datanya tidak lengkap jika hanya menyebutkan terdampak di 13 desa. Coba cek dulu tiap dusun. Klo tdk salah semua desa terdampak.,"The data is incomplete if it only mentions being affected in the village, please check each hamlet first, if I'm not mistaken, all villages are affected.","the data is incomplete if it only mentions being affected in the village, please check each hamlet first, if i'm not mistaken, all villages are affected.",the data is incomplete if it only mentions being affected in the village  please check each hamlet first  if i m not mistaken  all villages are affected,datum incomplete only mention affect village check hamlet first m mistaken village affect,datum incomplete mention affect village check hamlet m mistaken village affect
pemkabgresik,positif,@sifaak_ siap kak terima kasih atas informasinya. Nantinya akan kami update secara berkala terkait desa yang terdampak ☺️,"Ready, thank you for the information, and we will periodically update regarding the affected villages.","ready, thank you for the information, and we will periodically update regarding the affected villages.",ready  thank you for the information  and we will periodically update regarding the affected villages,ready thank information periodically update regard affect village,ready thank information periodically update regard affect village
pemkabgresik,positif,"Tim BPBD Gresik kloter kedua bersama tim yang lain sudah sampai di Bawean kak, semoga segera tersalurkan bantuan-bantuannya.","The Gresik BPBD team, along with the second cluster team and other teams, has arrived in Bawean, and hopefully the assistance will be distributed soon.","the gresik bpbd team, along with the second cluster team and other teams, has arrived in bawean, and hopefully the assistance will be distributed soon.",the gresik bpbd team  along with the second cluster team and other teams  has arrived in bawean  and hopefully the assistance will be distributed soon,gresik bpbd team second cluster team other team arrive bawean hopefully assistance distribute soon,gresik bpbd team second cluster team team arrive bawean hopefully assistance distribute soon
pemkabgresik,positif,@bawean_mbois Personel sudah dikerahkan bersama dengan bantuan-bantuan logistiknya kak. Semoga segara tersalurkan ☺️,"The military personnel have been deployed along with logistical assistance, hopefully it will be distributed soon.","the military personnel have been deployed along with logistical assistance, hopefully it will be distributed soon.",the military personnel have been deployed along with logistical assistance  hopefully it will be distributed soon,military personnel deploy along logistical assistance hopefully distribute soon,military personnel deploy logistical assistance hopefully distribute soon
ayuk_madiyanah,negatif,"Itu desa pekalongan, 12 rumah sakit ringan??? Maksudnya rusak ringan???",That Pekalongan village hospital has minor damage.,that pekalongan village hospital has minor damage.,that pekalongan village hospital has minor damage,pekalongan village hospital minor damage,pekalongan village hospital minor damage
syantie_family,positif," terima kasih min, semoga segera tersalurkan. Mohon dicek setiap sudut desa & dusunnya","Thank you, hopefully it will be resolved soon, please check every corner of the village and its hamlets.","thank you, hopefully it will be resolved soon, please check every corner of the village and its hamlets.",thank you  hopefully it will be resolved soon  please check every corner of the village and its hamlets,thank hopefully resolve soon check corner village hamlet,thank hopefully resolve soon check corner village hamlet
faqih__014,positif,Mohon untuk dicek kembali terkait data dan penulisan agar tidak timbul penyelewengan sehingga mengakibatkan hoax,Please kindly recheck the data and writing to prevent any inaccuracies that may lead to misinformation.,please kindly recheck the data and writing to prevent any inaccuracies that may lead to misinformation.,please kindly recheck the data and writing to prevent any inaccuracies that may lead to misinformation,kindly recheck datum write prevent inaccuracy lead misinformation,kindly recheck datum write prevent inaccuracy lead misinformation
febrinaindahsafitri,negatif, desa Daun juga min tidak masuk di datanya. Banyak rumah warga yangg terdampak berat.. mohon untk di tindaklanjuti dan bantuannya🙏🙏,"In the village of Daun, many residents' homes were severely impacted, and their data did not include them; we respectfully request that this issue be followed up and assisted.","in the village of daun, many residents' homes were severely impacted, and their data did not include them; we respectfully request that this issue be followed up and assisted.",in the village of daun  many residents  homes were severely impacted  and their data did not include them  we respectfully request that this issue be followed up and assisted,village daun many resident home severely impact datum include respectfully request issue follow assist,village daun resident home severely impact datum include respectfully request issue follow assist
cindyjsn_,negatif,"Desa Daun juga belum masuk data min, ini rumah saya juga roboh belum terdata.",The village of Daun has not yet been entered into the minimum data and my house has also not been recorded as demolished.,the village of daun has not yet been entered into the minimum data and my house has also not been recorded as demolished.,the village of daun has not yet been entered into the minimum data and my house has also not been recorded as demolished,village daun yet enter minimum datum house also record demolish,village daun enter minimum datum house record demolish
nafiah9460,negatif,@pemkabgresik kok desa lebak tidak masuk,The village of Lebak is not included.,the village of lebak is not included.,the village of lebak is not included,village lebak include,village lebak include
nafiah9460,positif,betul desa lebak juga parah terutama di dusun raba,"The truth is that the village of Lebak is also very bad, especially in Raba Hamlet.","the truth is that the village of lebak is also very bad, especially in raba hamlet.",the truth is that the village of lebak is also very bad  especially in raba hamlet,truth village lebak also very bad especially raba hamlet,truth village lebak bad especially raba hamlet
nafiah9460,positif," padahal lebak kejadiannnya tgl 22  maret juga apa ada tanggal yang lain, padahal disana banyak rumah yang rusak ringan sampai berat terutama di dusun Raba","Although the incident occurred in March, is there another date, whereas there are many houses damaged from lightly to severely, especially in the Raba hamlet.","although the incident occurred in march, is there another date, whereas there are many houses damaged from lightly to severely, especially in the raba hamlet.",although the incident occurred in march  is there another date  whereas there are many houses damaged from lightly to severely  especially in the raba hamlet,incident occur march date many house damage lightly severely especially raba hamlet,incident occur march date house damage lightly severely especially raba hamlet
viviltf,negatif,"Datanya tidak akurat, di Sawahmulya banyak rumah yang rusak ringan sampai parah. Mohon ditindaklanjuti dengan baik.","The data is inaccurate, in Sawahmulya many houses are lightly to severely damaged, please take prompt and effective action.","the data is inaccurate, in sawahmulya many houses are lightly to severely damaged, please take prompt and effective action.",the data is inaccurate  in sawahmulya many houses are lightly to severely damaged  please take prompt and effective action,datum inaccurate sawahmulya many house lightly severely damage take prompt effective action,datum inaccurate sawahmulya house lightly severely damage prompt effective action
mas_wlji,negatif,"@pemkabgresik desa pudakit timur, desa pudakit Barat, desa lebak, desa kumalasa kecamatan sangkapura Banyak rumah hancur KO GK masuk pendataan? 😮","East Pudakit Village, West Pudakit Village, Lebak Village, and Kumalasa Village in Sangkapura District, many houses were destroyed but were not included in the data collection.","east pudakit village, west pudakit village, lebak village, and kumalasa village in sangkapura district, many houses were destroyed but were not included in the data collection.",east pudakit village  west pudakit village  lebak village  and kumalasa village in sangkapura district  many houses were destroyed but were not included in the data collection,east pudakit village west pudakit village lebak village kumalasa village sangkapura district many house destroy include datum collection,east pudakit village west pudakit village lebak village kumalasa village sangkapura district house destroy include datum collection
tapaksiwa,negatif,Desa suwari mana?,"In the village, there is no direction.","in the village, there is no direction.",in the village  there is no direction,village direction,village direction
pemkabgresik,positif,@mas_wlji siap kak terima kasih atas informasinya. Nantinya akan kami update secara berkala terkait desa yang terdampak,"We apologize and thank you for the information, and we will periodically update it regarding the affected villages.","we apologize and thank you for the information, and we will periodically update it regarding the affected villages.",we apologize and thank you for the information  and we will periodically update it regarding the affected villages,apologize thank information periodically update regard affect village,apologize thank information periodically update regard affect village
pemkabgresik,positif,@cindyjsn_ siap kak terima kasih atas informasinya. Nantinya akan kami update secara berkala terkait desa yang terdampak,"Ready to accept thank you for the information, we will update periodically regarding the affected villages.","ready to accept thank you for the information, we will update periodically regarding the affected villages.",ready to accept thank you for the information  we will update periodically regarding the affected villages,ready accept thank information update periodically regard affect village,ready accept thank information update periodically regard affect village
namirawardana,negatif,Desa paromaan juga tidak masuk,The village head also did not enter.,the village head also did not enter.,the village head also did not enter,village head also enter,village head enter
nuranaberliana,positif,"Mohon bantuan segera min, ini warga bawean sampai saat ini masih ngungsi khawatir terjadi gempa susulan lagi.","We urgently need assistance, as the people of Bawean Island, until now, are still displaced and worried about another earthquake occurring.","we urgently need assistance, as the people of bawean island, until now, are still displaced and worried about another earthquake occurring.",we urgently need assistance  as the people of bawean island  until now  are still displaced and worried about another earthquake occurring,urgently need assistance people bawean island now still displace worry earthquake occur,urgently need assistance people bawean island displace worry earthquake occur
kominfogresik,positif,"@nuranaberliana terima kasih atas aduannya kak, kami pemkab gresik akan terus koordinasi dengan BPBD dan pihak terkait dalam penanganan tanggap bencana untuk saudara-saudara kita di Bawean 🙏🏻 sudah diberangkatkan bantuan tenda dan logistik juga malam in","Thank you for the report, we, the Gresik Regency Government, will continue to coordinate with the BPBD and related parties in handling disaster response to help our brothers and sisters in Bawean, and have already dispatched tent and logistical assistance last night.","thank you for the report, we, the gresik regency government, will continue to coordinate with the bpbd and related parties in handling disaster response to help our brothers and sisters in bawean, and have already dispatched tent and logistical assistance last night.",thank you for the report  we  the gresik regency government  will continue to coordinate with the bpbd and related parties in handling disaster response to help our brothers and sisters in bawean  and have already dispatched tent and logistical assistance last night,thank report gresik regency government continue coordinate bpbd related party handle disaster response help brother sister bawean already dispatch tent logistical assistance last night,thank report gresik regency government continue coordinate bpbd related party handle disaster response help brother sister bawean dispatch tent logistical assistance night
zeeedd90s,positif,"😭😭😭🙏🙏🙏 MOHON DENGAN SANGAT JUGA, ADA TEAM YANG FOKUS BANTU EVAKUASI LANSIA DARI RUMAH KE PENGUNGSIAN. 🥺🥺😢😢🙏🙏🙏",We kindly request that there is also a team that focuses on assisting in the evacuation of the elderly from their homes to shelters.,we kindly request that there is also a team that focuses on assisting in the evacuation of the elderly from their homes to shelters.,we kindly request that there is also a team that focuses on assisting in the evacuation of the elderly from their homes to shelters,kindly request also team focus assist evacuation elderly home shelter,kindly request team focus assist evacuation elderly home shelter
kominfogresik,positif,@zeeedd90s siap kak terima kasih atas aduannya 🙏🏻 kami akan sampaikan ke pihak terkait,"Ready, thank you for your report, we will forward it to the relevant parties.","ready, thank you for your report, we will forward it to the relevant parties.",ready  thank you for your report  we will forward it to the relevant parties,ready thank report forward relevant party,ready thank report forward relevant party
aippp_0,positif,Bagaimana dengan rumah yang banyak rusak apakah akan ada bantuan pak🙏🙏🙏🙏,"What about the many damaged houses, will there be any assistance, sir?","what about the many damaged houses, will there be any assistance, sir?",what about the many damaged houses  will there be any assistance  sir,many damage house assistance,damage house assistance
adms.nta,positif,"semoga diberikan keselamatan untuk saudara di bawean, selalu berdo'a dan mawas diri sendiri beserta keluarga","May safety be granted to our siblings in Bawean, always praying and being vigilant for themselves and their families.","may safety be granted to our siblings in bawean, always praying and being vigilant for themselves and their families.",may safety be granted to our siblings in bawean  always praying and being vigilant for themselves and their families,safety grant sibling bawean always pray vigilant family,safety grant sibling bawean pray vigilant family
haris_mhmd19,positif,Biaya?,The cost,the cost,the cost,cost,cost
fahriip._,positif,yang untuk lulusan SMK ada kah min,Is there any opportunity for vocational high school graduates?,is there any opportunity for vocational high school graduates?,is there any opportunity for vocational high school graduates,opportunity vocational high school graduate,opportunity vocational high school graduate
rikyhan,positif,Biaya,The cost.,the cost.,the cost,cost,cost
mhrmnsyh._,positif,Biaya?,The cost,the cost,the cost,cost,cost
casper_ahmadsupandri,negatif,"masa semua D3/S1 terus yang lulusan SMK/SMA gimana caranya ikut pelatihan"" gini",How do all graduates of vocational high school and high school continuously participate in training sessions like this?,how do all graduates of vocational high school and high school continuously participate in training sessions like this?,how do all graduates of vocational high school and high school continuously participate in training sessions like this,graduate vocational high school high school continuously participate training session,graduate vocational high school high school continuously participate training session
pemkabgresik,positif,gratis kak,It's free coffee.,it's free coffee.,it s free coffee,s free coffee,s free coffee
pemkabgresik,positif,@haris_mhmd19 gratis kak,Muhammad gets something free from Caca.,muhammad gets something free from caca.,muhammad gets something free from caca,muhammad get free caca,muhammad free caca
pemkabgresik,positif,@rikyhan gratis kak,Free crackers.,free crackers.,free crackers,free cracker,free cracker
pemkabgresik,positif,nanti kalau ada akan kami informasikan di akun pemkab kak,"Later, if there is any, we will inform you through the district government's account.","later, if there is any, we will inform you through the district government's account.",later  if there is any  we will inform you through the district government s account,later inform district government account,later inform district government account
rikyhan,positif,sertifikasinya berapa hari?,How many days is the certification valid for?,how many days is the certification valid for?,how many days is the certification valid for,many day certification valid,day certification valid
farih_al11,positif,menyimak pelaksanaannya kapan,Observing its implementation when.,observing its implementation when.,observing its implementation when,observe implementation,observe implementation
naylee_28,positif,Cewek bisa ?,The girl can.,the girl can.,the girl can,girl,girl
gv.nu1,positif,@casper_ahmadsupandri sudah peraturan pemerintah untuk jadi supervisor/pengawas bersertifikasi harus lulusan s1 teknik yang sudah ada basic dalam dunia konstruksi/teknik. Tidak mungkinkan yang baru lulus SMA mempunya SKA ahli konstruksi dan bisa jadi peng,"According to government regulations, to become a certified supervisory inspector, one must be a graduate of a technical field that already has a basic understanding of the construction world, it is impossible for a new high school graduate to possess an expertise certification in construction and become a supervisor.","according to government regulations, to become a certified supervisory inspector, one must be a graduate of a technical field that already has a basic understanding of the construction world, it is impossible for a new high school graduate to possess an expertise certification in construction and become a supervisor.",according to government regulations  to become a certified supervisory inspector  one must be a graduate of a technical field that already has a basic understanding of the construction world  it is impossible for a new high school graduate to possess an expertise certification in construction and become a supervisor,accord government regulation become certify supervisory inspector graduate technical field already basic understanding construction world impossible new high school graduate possess expertise certification construction become supervisor,accord government regulation certify supervisory inspector graduate technical field basic understanding construction world impossible new high school graduate possess expertise certification construction supervisor
m_adebe25,positif,Pakai SKL apakah bisa kak?,"Wear a skirt, can I, older sibling?","wear a skirt, can i, older sibling?",wear a skirt  can i  older sibling,wear skirt old sibling,wear skirt old sibling
rikyhan,positif,Pelaksanaanya kapan pak? @pemkabgresik,When will its implementation be?,when will its implementation be?,when will its implementation be,implementation,implementation
galih.gep,positif,Minta info alamat email yang valid?,Please provide a valid email address.,please provide a valid email address.,please provide a valid email address,provide valid email address,provide valid email address
whoscojoor,negatif,emailnya ga bisa min,His/her email is not working.,his/her email is not working.,his her email is not working,email work,email work
sweetysvck,positif,email tidak ditemukan,Email not found.,email not found.,email not found,email find,email find
acfathoni,positif,@sweetysvck iya benar alamat email typo di post. Saya sudah chat dengan bapak sukayat di layani dengan sangat baik untuk alamat email yang benar dckpkpgresikbidangjakongresik@gmail.com,"It is correct that the email address in the post has a typo, I have already chatted with Mr. Sukayat and received excellent service to correct the email address to dckpkpgresikbidangjakongresik.com.","it is correct that the email address in the post has a typo, i have already chatted with mr. sukayat and received excellent service to correct the email address to dckpkpgresikbidangjakongresik.com.",it is correct that the email address in the post has a typo  i have already chatted with mr  sukayat and received excellent service to correct the email address to dckpkpgresikbidangjakongresik com,correct email address post typo already chat mr sukayat receive excellent service correct email address dckpkpgresikbidangjakongresik com,correct email address post typo chat mr sukayat receive excellent service correct email address dckpkpgresikbidangjakongresik com
sweetysvck,positif, terima kasih infonya,Thank you for the information.,thank you for the information.,thank you for the information,thank information,thank information
dapi2720,positif,@pemkabgresik perempuan apa boleh mendaftar?,Can women register?,can women register?,can women register,woman register,woman register
donny.elka,positif,On line kah,Online shopping is increasingly popular among young people.,online shopping is increasingly popular among young people.,online shopping is increasingly popular among young people,online shopping increasingly popular young people,online shopping increasingly popular young people
iam.hudaa,positif,Pelatihan nya supervisor k3 atau konstruksi utama yang dibuka,The training was supervised by K or the main construction contractor that was opened.,the training was supervised by k or the main construction contractor that was opened.,the training was supervised by k or the main construction contractor that was opened,training supervise k main construction contractor open,training supervise k main construction contractor open
msyamsu_arft,positif,@idhalutfiana gass🔥🔥,Please provide the Indonesian sentence you'd like me to translate.,please provide the indonesian sentence you'd like me to translate.,please provide the indonesian sentence you d like me to translate,provide indonesian sentence d translate,provide indonesian sentence d translate
st.budi27,positif,BUMD yang mana min?,Which bum is that?,which bum is that?,which bum is that,bum,bum
pambudibenny,negatif,Yang pasti bukan PDAM😂😂😂,That which is certainly not PAM (Perusahaan Air Minum Daerah) or that which is definitely not a regional water company.,that which is certainly not pam (perusahaan air minum daerah) or that which is definitely not a regional water company.,that which is certainly not pam  perusahaan air minum daerah  or that which is definitely not a regional water company,certainly pam perusahaan air minum daerah definitely regional water company,certainly pam perusahaan air minum daerah definitely regional water company
marfiatin2,negatif,Gak penting.. yang penting jalan halus.. Banyak yang rusak itu lho..,"What's important is a smooth journey, many of those who are damaged along the way, you see.","what's important is a smooth journey, many of those who are damaged along the way, you see.",what s important is a smooth journey  many of those who are damaged along the way  you see,s important smooth journey many damage way see,s important smooth journey damage way
mustofa74,negatif,Defisit anggaran kok masih banyak yang naik pangkat,"Despite the budget deficit, many still get promoted.","despite the budget deficit, many still get promoted.",despite the budget deficit  many still get promoted,budget deficit many still get promote,budget deficit promote
irawan.edi.39,negatif,Untuk PPPK angkatan 2021 kok tidak diurusin ya....? Kenaikan gaji  berkala dan tunjangan jabatan fungsionalnya...padahal kabupaten lainnya sudah...mohon diperhatikan..🙏,"For PK position, it's unfair that the regular salary increments and functional job allowances are not being handled, whereas other regencies have already done so, I beg for your attention to this matter.","for pk position, it's unfair that the regular salary increments and functional job allowances are not being handled, whereas other regencies have already done so, i beg for your attention to this matter.",for pk position  it s unfair that the regular salary increments and functional job allowances are not being handled  whereas other regencies have already done so  i beg for your attention to this matter,pk position s unfair regular salary increment functional job allowance handle other regency already do so beg attention matter,pk position s unfair regular salary increment functional job allowance handle regency beg attention matter
akuandra,negatif,PPPK angkatan 2021 kapan kenaikan gaji berkala dan tunjangan jabfungnya?????? Kabupaten lain sudah realisasi MOHON LEBIH DIPERHATIKAN🙏🏻🙏🏻,"The PK angkatan's periodic salary increase and functional allowance in other regencies has already been realized, please give more attention to it.","the pk angkatan's periodic salary increase and functional allowance in other regencies has already been realized, please give more attention to it.",the pk angkatan s periodic salary increase and functional allowance in other regencies has already been realized  please give more attention to it,pk angkatan periodic salary increase functional allowance other regency already realize give more attention,pk angkatan periodic salary increase functional allowance regency realize attention
sugenkdarma,negatif,Mohon juga untuk PPPK angkatan 2021 di perhatikan...,We also request that the PK generation be taken into consideration.,we also request that the pk generation be taken into consideration.,we also request that the pk generation be taken into consideration,also request pk generation take consideration,request pk generation consideration
sriyono_nuroktaviyanto,negatif,Mohon diperhatikan juga kesejahteraan PPPK..... Kebaikan gaji berkala dan tunjangan fungsional Khusus samapai bulan ini belum ada realisasi... ???,"Please note that the welfare, PK's periodic salary and functional allowances, which have not yet been realized until this month, should also be considered.","please note that the welfare, pk's periodic salary and functional allowances, which have not yet been realized until this month, should also be considered.",please note that the welfare  pk s periodic salary and functional allowances  which have not yet been realized until this month  should also be considered,note welfare pk periodic salary functional allowance yet realize month also consider,note welfare pk periodic salary functional allowance realize month consider
fatmiarosewati,negatif,PPPK Angkatan 2021 tolong di perhatikan  gaji berkalanya dan tunjangan jabfunya kabupaten lain sudah pada cair,"PK team, please take note that the salaries and job functional allowances of other districts have already been disbursed.","pk team, please take note that the salaries and job functional allowances of other districts have already been disbursed.",pk team  please take note that the salaries and job functional allowances of other districts have already been disbursed,pk team take note salary job functional allowance other district already disburse,pk team note salary job functional allowance district disburse
ain.ulvaganza,negatif,"Mohon PPPK Angkatan 21 kapan kenaikan gaji berkala dan Tunjangan Jabfungnya...... ??? Kabupaten lain sdh Realisasi, MOHON LEBIH DIPERHATIKAN BPK. 🙏🏻🙏🏻🙏🏻","We request information on the regular salary increase and functional allowances in other regencies that have been realized, and we respectfully request that you pay closer attention to this matter, sir.","we request information on the regular salary increase and functional allowances in other regencies that have been realized, and we respectfully request that you pay closer attention to this matter, sir.",we request information on the regular salary increase and functional allowances in other regencies that have been realized  and we respectfully request that you pay closer attention to this matter  sir,request information regular salary increase functional allowance other regency realize respectfully request pay close attention matter,request information regular salary increase functional allowance regency realize respectfully request pay close attention matter
yumnsj,positif,Semoga P3K 2021 ke depan lebih diperhatikan  terkait  kesejahteraan yang memang berhak ditrima.,May we be more concerned about the welfare that is rightfully deserved in the future.,may we be more concerned about the welfare that is rightfully deserved in the future.,may we be more concerned about the welfare that is rightfully deserved in the future,more concerned welfare rightfully deserve future,concerned welfare rightfully deserve future
ainulaprianto,positif,"Mohon untuk PPPK angkatan 2021 lebih diperhatikan lagi,, kami juga termasuk dalam ASN,,, kenaikan gaji berkala dan tunjangan jabatan fungsional kami belum menerimanya sama sekali, tolong diperhatikan hak² kami juga 🙏🙏","We respectfully request that our promotions be given more attention, as we are also part of theASN and are entitled to periodic salary increases and functional position allowances, but we have not received them at all, so please pay attention to our rights as well.","we respectfully request that our promotions be given more attention, as we are also part of theasn and are entitled to periodic salary increases and functional position allowances, but we have not received them at all, so please pay attention to our rights as well.",we respectfully request that our promotions be given more attention  as we are also part of theasn and are entitled to periodic salary increases and functional position allowances  but we have not received them at all  so please pay attention to our rights as well,respectfully request promotion give more attention also part theasn entitle periodic salary increase functional position allowance receive at all so pay attention right as well,respectfully request promotion attention theasn entitle periodic salary increase functional position allowance receive pay attention right
